"","medal","beer_name","brewery","city","state","category","year"
"3756","Silver","Wipeout IPA","Pizza Port - Carlsbad","Carlsbad","CA","American-Style India Pale Ale",2001
"3757","Silver","Red Dog","Plank Road Brewery","Milwaukee","WI","American-Style Lager",2001
"3758","Bronze","Pearl Lager","Pearl Brewing Co.","Fort Worth","TX","American-Style Lager",2001
"3759","Gold","Taps Cream Ale","TAPS Fish House and Brewery","Brea","CA","American-Style Lager/Ale or Cream Ale",2001
"3760","Silver","Holy Cow's Cream Ale","Holy Cow!","Las Vegas","NV","American-Style Lager/Ale or Cream Ale",2001
"3761","Bronze","Iowa City Light","Fitzpatrick's","Iowa City","IA","American-Style Lager/Ale or Cream Ale",2001
"3762","Gold","Schaefer Light","Schaefer Brewing Co.","Fogelsville","PA","American-Style Light Lager",2001
"3763","Silver","Stroh Light","Stroh Brewery Co. (The)","Fogelsville","PA","American-Style Light Lager",2001
"3764","Bronze","Lone Star Light","Lone Star Brewing Co.","Milwaukee","WI","American-Style Light Lager",2001
"3765","Gold","SLO Brewing Co Extra Pale Ale","SLO Brewing Co. - Paso Robles","Paso Robles","CA","American-Style Pale Ale",2001
"3766","Silver","Emmett's Pale Ale","Emmett's Tavern & Brewing Co.","West Dundee","IL","American-Style Pale Ale",2001
"3767","Bronze","Mad Hatter Ale","New Holland Brewing Co.","Holland","MI","American-Style Pale Ale",2001
"3768","Silver","Original Coors","Coors Brewing Co.","Golden","CO","American-Style Premium Lager",2001
"3769","Bronze","Stroh","Stroh Brewery Co. (The)","Fogelsville","PA","American-Style Premium Lager",2001
"3770","Gold","New South Lager","New South Brewing","Myrtle Beach","SC","American-Style Specialty Lager",2001
"3771","Silver","Old Milwaukee Ice","Stroh Brewery Co. (The)","Fogelsville","PA","American-Style Specialty Lager",2001
"3772","Gold","Grassfire Wheat","Hook & Ladder Brewing Co.","Oakland","CA","American-Style Wheat Ale or Lager",2001
"3773","Silver","Shiner Winter Ale","Spoetzl Brewery (The)","San Antonio","TX","American-Style Wheat Ale or Lager",2001
"3774","Silver","Bombshell Barleywine","Pizza Port - Carlsbad","Carlsbad","CA","Barley Wine-Style Ale",2001
"3775","Bronze","Barley Wine","Rohrbach Brewing Co.","Rochester","NY","Barley Wine-Style Ale",2001
"3776","Gold","La Folie","New Belgium Brewing Co.","Fort Collins","CO","Belgian- & French-Style Specialty Ales",2001
"3777","Silver","Liquid Sunshine","Rock Bottom Brewery - Westminster","Westminster","CO","Belgian- & French-Style Specialty Ales",2001
"3778","Bronze","Artisian Saison","Rocky River Brewing Co. - Ohio","Rocky River","OH","Belgian- & French-Style Specialty Ales",2001
"3779","Gold","Trippel Belgian Style Ale","New Belgium Brewing Co.","Fort Collins","CO","Belgian-Style Ale",2001
"3780","Silver","Damnation","Russian River Brewing Co.","Guerneville","CA","Belgian-Style Ale",2001
"3781","Bronze","Abbey Belgian Style Ale","New Belgium Brewing Co.","Fort Collins","CO","Belgian-Style Ale",2001
"3782","Gold","Full Suspension Pale Ale","Utah Brewers Cooperative","Salt Lake City","UT","Bitter",2001
"3783","Bronze","Cascade Ale","Deschutes Brewery","Bend","OR","Bitter",2001
"3784","Silver","Hell's Bock","Big Horn Brewing Co.","Denver","CO","Bock",2001
"3785","Bronze","Mad Brewer Maibock","Church Brew Works","Pittsburgh","PA","Bock",2001
"3786","Silver","Pillage Pilsner","Valhalla Microbrewery & Restaurant","Pittsburgh","PA","Bohemian Style Pilsener",2001
"3787","Bronze","Czech Mate Pils","Brew Moon Restaurant & Microbrewery","Brookline","MA","Bohemian Style Pilsener",2001
"3788","Gold","MacTarnahan's Black Watch Cream Porter","Portland Brewing Co.","Portland","OR","Brown Porter",2001
"3789","Bronze","Paradise Lost Porter","Angelic Brewing Co.","Madison","WI","Brown Porter",2001
"3790","Gold","Darth Delirium","Moose's Tooth Brewing Co.","Anchorage","AK","Chocolate / Cocoa Flavored Beer",2001
"3791","Bronze","Oompa Loompa","Rocky River Brewing Co. - Ohio","Rocky River","OH","Chocolate / Cocoa Flavored Beer",2001
"3792","Gold","Custer's Last Ale","Snake River Brewing Co.","Jackson","WY","Classic English Style Pale Ale",2001
"3793","Silver","Breckenridge Pale Ale","Breckenridge Brewery","Denver","CO","Classic English Style Pale Ale",2001
"3794","Bronze","Annadel Pale Ale","Third Street AleWorks","Santa Rosa","CA","Classic English Style Pale Ale",2001
"3795","Gold","Lord Stanley","Steelhead Brewing Co.","Irvine","CA","Classic Irish-Style Dry Stout",2001
"3796","Silver","Celtic Stout","Fitzpatrick's","Iowa City","IA","Classic Irish-Style Dry Stout",2001
"3797","Bronze","Dark Starr Stout","Starr Hill Brewing Co.","Charlottesville","VA","Classic Irish-Style Dry Stout",2001
"3798","Gold","Sweet Georgia Brown","Sweetwater Brewing Co.","Atlanta","GA","English-Style Brown Ale",2001
"3799","Silver","Nut Brown Ale","Blackstone Restaurant & Brewery","Nashville","TN","English-Style Brown Ale",2001
"3800","Bronze","Thunderbolt Brown","Pony Express Brewing Co.","Olathe","KS","English-Style Brown Ale",2001
"3801","Silver","Hoppyhour IPA","Mash House Restaurant & Brewing Co. (The)","Fayetteville","NC","English-Style India Pale Ale",2001
"3802","Bronze","India Pale Ale","Goose Island Beer Co.","Chicago","IL","English-Style India Pale Ale",2001
"3803","Gold","Damsel in Distress Dunkel","Mammoth Brewing","Mammoth Lakes","CA","European-Style Dark / Munchner Dunkel",2001
"3804","Silver","Dunkles","Powerhouse Restaurant & Brewery","Sebastopol","CA","European-Style Dark / Munchner Dunkel",2001
"3805","Bronze","Pious Monk Dunkel","Church Brew Works","Pittsburgh","PA","European-Style Dark / Munchner Dunkel",2001
"3806","Gold","Michelob","Anheuser-Busch, Inc","Saint Louis","MO","European-Style Pilsener",2001
"3807","Silver","Import/Export Buis","Brewzzi","Boca Raton","FL","European-Style Pilsener",2001
"3808","Bronze","Pinch Hit Pilsner","Sandlot Brewery at Coors Field","Denver","CO","European-Style Pilsener",2001
"3809","Gold","Czar Jack Bourbon Barrel Imperial Stout","Minneapolis Town Hall Brewery","Minneapolis","MN","Experimental Beer",2001
"3810","Silver","Cuvee de Tomme","Pizza Port - Solana Beach","Solana Beach","CA","Experimental Beer",2001
"3811","Bronze","Special Brew Lemon Lime","St. Ides Brewing Co.","Milwaukee","WI","Experimental Beer",2001
"3812","Gold","Sofa King Stout","West Bros Brewery","Eugene","OR","Foreign Style Stout",2001
"3813","Silver","Irish Stout","Bellows Brew Crew (The)","Watertown","WI","Foreign Style Stout",2001
"3814","Bronze","Space Stout","Laurelwood Public House & Brewery","Portland","OR","Foreign Style Stout",2001
"3815","Gold","Raspberry Tart","New Glarus Brewing Co.","New Glarus","WI","Fruit Beer",2001
"3816","Silver","Belgian Style Red","New Glarus Brewing Co.","New Glarus","WI","Fruit Beer",2001
"3817","Bronze","Railway Razz","Willoughby Brewing Co. (The)","Willoughby","OH","Fruit Beer",2001
"3818","Gold","Boca Alt","Brewzzi","Boca Raton","FL","German-Style Brown Ale / Dusseldorf-Style Altbier",2001
"3819","Silver","Otis Alt","Elk Grove Brewery and Restaurant","Elk Grove","CA","German-Style Brown Ale / Dusseldorf-Style Altbier",2001
"3820","Gold","Scapegoat Doppelbock","Mickey Finn's Brewery","Libertyville","IL","German-Style Doppelbock",2001
"3821","Bronze","Bell's Consecrator Dopplebock","Kalamazoo Brewing","Kalamazoo","MI","German-Style Doppelbock",2001
"3822","Gold","Pete's Wicked Helles Lager","Pete's Brewing Co.","San Antonio","TX","German-Style Kolsch / Koln-Style Kolsch",2001
"3823","Bronze","Skinny Atlas Light","Empire Brewing Co.","Rochester","NY","German-Style Kolsch / Koln-Style Kolsch",2001
"3824","Gold","Uncle Otto's Oktoberfest","Portland Brewing Co.","Portland","OR","German-Style Maerzen / Oktoberfest",2001
"3825","Silver","Mueller Marzen","Springfield Brewing Co.","Springfield","MO","German-Style Maerzen / Oktoberfest",2001
"3826","Bronze","Tabernash Oktoberfest","Tabernash Brewing Co.","Longmont","CO","German-Style Maerzen / Oktoberfest",2001
"3827","Silver","Hanalei Lager","Honolulu Brewing Co.","Honolulu","HI","German-Style Pilsener",2001
"3828","Bronze","Blue Paddle Pilsner","New Belgium Brewing Co.","Fort Collins","CO","German-Style Pilsener",2001
"3829","Silver","Springfield Schwarz Beer","John HarvardE2=80=99s Brew Ho=use","Wayne","PA","German-Style Schwarzbier",2001
"3830","Bronze","King's Peak","Uinta Brewing Co.","Salt Lake City","UT","German-Style Schwarzbier",2001
"3831","Gold","Gudenteit Hefe-Weizen","Mickey Finn's Brewery","Libertyville","IL","German-Style Wheat Ale",2001
"3832","Silver","Glockenspiel Weizenbock","Great Lakes Brewing Co/Ohio","Cleveland","OH","German-Style Wheat Ale",2001
"3833","Bronze","Heidelberg Hefeweizen","Rocky River Brewing Co. - Tennessee","Sevierville","TN","German-Style Wheat Ale",2001
"3834","Gold","Golden Wheat Ale","Russian River Brewing Co.","Guerneville","CA","Golden or Blonde Ale",2001
"3835","Silver","Old Faithful Ale","Grand Teton Brewing Co.","Victor","ID","Golden or Blonde Ale",2001
"3836","Bronze","Kiwanda Cream Ale","Pelican Pub & Brewery","Pacific City","OR","Golden or Blonde Ale",2001
"3837","Gold","Orange Infusion","Elliott Bay Brewery Pub","Seattle","WA","Herb and Spice Beer",2001
"3838","Silver","Holiday Spiced Ale","21st Amendment Brewery Caf=C3=A9","San Francisco","CA","Herb and Spice Beer",2001
"3839","Bronze","Cambridge Espresso Stout","John HarvardE2=80=99s Brew House","Braintree","MA","Herb and Spice Beer",2001
"3840","Gold","Raven Maniac Stout","Prescott Brewing Co.","Prescott","AZ","Imperial Stout",2001
"3841","Silver","High Desert Imperial Stout","Sweetwater Tavern & Brewery","Centreville","VA","Imperial Stout",2001
"3842","Gold","3A - Abigail Adams Amber","Quincy Ships Brewing Co.","Quincy","MA","Irish-Style Red Ale",2001
"3843","Silver","Thoroughbred Red","Aiken Brewing Co.","Aiken","SC","Irish-Style Red Ale",2001
"3844","Bronze","Starr Hill Amber Ale","Starr Hill Brewing Co.","Charlottesville","VA","Irish-Style Red Ale",2001
"3845","Gold","Penn Gold","Pennsylvania Brewing Co.","Pittsburgh","PA","Munchner-Style Helles",2001
"3846","Silver","Lucknow Munich-Style Lager","Castle Springs Brewing Co.","Moultonborough","NH","Munchner-Style Helles",2001
"3847","Bronze","Ghost Pony Helles","Trap Rock Restaurant and Brewery","Berekely Heights","NJ","Munchner-Style Helles",2001
"3848","Gold","O'Doul's Amber","Anheuser-Busch, Inc","Saint Louis","MO","Non-Alcoholic (Beer) Malt Beverage",2001
"3849","Silver","Kingsbury NA","Rainier Brewing Co. Inc","Tumwater","WA","Non-Alcoholic (Beer) Malt Beverage",2001
"3850","Gold","Lasto's Oatmeal Stout","BJ's Grill & Brewery","Portland","OR","Oatmeal Stout",2001
"3851","Silver","Oatmeal Stout","SLO Brewing Co. - San Luis Obispo","San Luis Obispo","CA","Oatmeal Stout",2001
"3852","Silver","Old Stock Ale","North Coast Brewing Co. Inc","Ft. Bragg","CA","Old Ale/Strong Ale",2001
"3853","Gold","Hopasaurus Rex Imperial IPA","Steelhead Brewing Co. - Eugene","Eugene","OR","Other Strong Ale or Lager",2001
"3854","Silver","Hearthside Wheatwine","Steelhead Brewing Co. - Eugene","Eugene","OR","Other Strong Ale or Lager",2001
"3855","Bronze","Cardiff","Glenwood Canyon Brewing Co.","Glenwood Springs","CO","Other Strong Ale or Lager",2001
"3856","Gold","Robust Porter","Smuttynose Brewing Co.","Portsmouth","NH","Robust Porter",2001
"3857","Silver","Total Eclipse Black Ale","Hoppy Brewing Co.","Sacramento","CA","Robust Porter",2001
"3858","Gold","Road Rage Rye","Desert Edge Brewery","Salt Lake City","UT","Rye Beer",2001
"3859","Silver","Chazz Cat Rye","Mountain Sun Pub and Brewery","Boulder","CO","Rye Beer",2001
"3860","Bronze","Catcher in the Rye","Rock Bottom Brewery - South Denver","Englewood","CO","Rye Beer",2001
"3861","Silver","Laughing Lab Scottish Ale","Bristol Brewing Co.","Colorado Springs","CO","Scottish-Style Ale",2001
"3862","Bronze","Saint Arnold Oktoberfest","Saint Arnold Brewing Co.","Houston","TX","Scottish-Style Ale",2001
"3863","Silver","Smokey the Beer","Blind Tiger Brewery & Restaurant","Topeka","KS","Smoke-Flavored Beer",2001
"3864","Gold","Big Bad Bourbon Brown","Big Horn Brewing Co.","Dallas","TX","Specialty Beer",2001
"3865","Bronze","Ginger Shandy","McCoys Public House & BrewKitchen","Kansas City","MO","Specialty Beer",2001
"3866","Gold","Countdown Honey Brown","Thunder Canyon Brewery","Tucson","AZ","Specialty Honey Beer",2001
"3867","Bronze","Honey Rye Dopplebock","Flossmoor Station Brewing Co.","Flossmoor","IL","Specialty Honey Beer",2001
"3868","Silver","Wee Heavy Ale","Capitol City Brewing Co.","Arlington","VA","Strong Scotch Ale",2001
"3869","Bronze","Wee Heavy","Iron Hill Brewery & Restaurant - Media","Media","PA","Strong Scotch Ale",2001
"3870","Gold","Sweetness Stout","Americas Brewing Co/Walter Paytons Roundhouse","Aurora","IL","Sweet Stout",2001
"3871","Silver","Chocolate Stout","H.C. Berger Brewing","Fort Collins","CO","Sweet Stout",2001
"3872","Bronze","Chelsea Cream Stout","Chelsea Brewing Co.","New York","NY","Sweet Stout",2001
"3873","Gold","Snake River Lager","Snake River Brewing Co.","Jackson","WY","Vienna-Style Lager",2001
"3874","Silver","Dam Straight Lager","Dillon Dam Brewery","Dillon","CO","Vienna-Style Lager",2001
"3875","Bronze","Sunset Amber","Coast Brewing Co.","Biloxi","MS","Vienna-Style Lager",2001
"3876","Gold","H. Saxer Dark Lager","Portland Brewing Co.","Portland","OR","American Dark Lager",2000
"3877","Silver","Henry Weinhard's Dark","Blitz-Weinhard Brewing Co.","Tumwater","WA","American Dark Lager",2000
"3878","Bronze","Michelob Amber Bock","Anheuser-Busch, Inc","Saint Louis","MO","American Dark Lager",2000
"3879","Gold","California Gold","Stuft Pizza & Brewing Co.","San Diego","CA","American Lager / Ale or Cream Ale",2000
"3880","Silver","Lodgepole Light","Prescott Brewing Co.","Prescott","AZ","American Lager / Ale or Cream Ale",2000
"3881","Silver","Shark Bite Red","Pizza Port - Carlsbad","Carlsbad","CA","American-Style Amber/Red Ale",2000
"3882","Bronze","Ragtop Red","Rock Bottom Breweries","La Jolla","CA","American-Style Amber/Red Ale",2000
"3883","Gold","American Brown","C.H. Evans Brewing Co. at the Albany Pump Station","Albany","NY","American-Style Brown Ale",2000
"3884","Bronze","Brooklyn Brown Ale","Brooklyn Brewery","Brooklyn","NY","American-Style Brown Ale",2000
"3885","Gold","IPA","SLO Brewing Co. - San Luis Obispo","San Luis Obispo","CA","American-Style India Pale Ale",2000
"3886","Silver","Torrey Pines IPA","Stuft Pizza & Brewing Co.","San Diego","CA","American-Style India Pale Ale",2000
"3887","Gold","Rainer","G. Heileman Brewing Co.","Fogelsville","PA","American-Style Lager",2000
"3888","Silver","Miller Genuine Draft","Miller Brewing Co.","Milwaukee","WI","American-Style Lager",2000
"3889","Bronze","Red Dog","Plank Road Brewery","Milwaukee","WI","American-Style Lager",2000
"3890","Gold","Bud Light","Anheuser-Busch, Inc","Saint Louis","MO","American-Style Light Lager",2000
"3891","Silver","Stroh Light","Stroh Brewery Co. (The)","Fogelsville","PA","American-Style Light Lager",2000
"3892","Bronze","Schaefer Light","Schaefer Brewing Co.","Fogelsville","PA","American-Style Light Lager",2000
"3893","Gold","Telemark IPA","Backcountry Brewery","Frisco","CO","American-Style Pale Ale",2000
"3894","Silver","Mad Hatter Ale","New Holland Brewing Co.","Holland","MI","American-Style Pale Ale",2000
"3895","Bronze","New River Pale Ale","New River Brewing Co.","Blacksburg","VA","American-Style Pale Ale",2000
"3896","Gold","Stroh Lager","Stroh Brewery Co. (The)","Fogelsville","PA","American-Style Premium Lager",2000
"3897","Silver","Schlitz Malt Liquor","Schlitz Brewing Co.","Fogelsville","PA","American-Style Premium Lager",2000
"3898","Bronze","New South Lager Beer","New South Brewing","Myrtle Beach","CA","American-Style Premium Lager",2000
"3899","Gold","Bull Ice","Schlitz Brewing Co.","Fogelsville","PA","American-Style Specialty Lager",2000
"3900","Silver","St. Ides Malt Liquor","St. Ides Brewing Co.","Fogelsville","PA","American-Style Specialty Lager",2000
"3901","Bronze","Scrimshaw Beer","North Coast Brewing Co. Inc","Ft. Bragg","CA","American-Style Specialty Lager",2000
"3902","Gold","High Rollers Wheat Beer","Anderson Valley Brewing Co.","Boonville","CA","American-Style Wheat Ale or Lager",2000
"3903","Gold","Old No. 27 Barley Wine","Delafield Brewhaus","Delafield","WI","Barley Wine-Style Ale",2000
"3904","Silver","Stone Old Guardian","Stone Brewing Co.","San Marcos","CA","Barley Wine-Style Ale",2000
"3905","Bronze","Blunderbuss Barleywine","Cambridge Brewing Co.","Cambridge","MA","Barley Wine-Style Ale",2000
"3906","Gold","Cherry Lambic","Commonwealth Brewing Co.","New York","NY","Belgian- & French-Style Specialty Ales",2000
"3907","Silver","Saison L' Ete","Willoughby Brewing Co. (The)","Willoughby","OH","Belgian- & French-Style Specialty Ales",2000
"3908","Bronze","La Folie","New Belgium Brewing Co.","Fort Collins","CO","Belgian- & French-Style Specialty Ales",2000
"3909","Gold","Abbey Belgian Style Ale","New Belgium Brewing Co.","Fort Collins","CO","Belgian-Style Ales",2000
"3910","Silver","Victoria's Triple Belgian","Humboldt Brewery","Arcata","CA","Belgian-Style Ales",2000
"3911","Bronze","Bridal Veil Ale","BJ's Pizza, Grill & Brewery","Brea","CA","Belgian-Style Ales",2000
"3912","Gold","Framingham Bock","John HarvardE2=80=99s Brew House","Boston","MA","Bock",2000
"3913","Silver","Mad Brewer Maibock","Church Brew Works","Pittsburgh","PA","Bock",2000
"3914","Bronze","Maibock","Iron Hill Brewery & Restaurant","Newark","DE","Bock",2000
"3915","Bronze","Full Sail Pilsner","Full Sail Brewing Co.","Hood River","OR","Bohemian Style Pilsener",2000
"3916","Gold","Ghirardelli Square Chocolate Stout","Steelhead Brewing Co.","Burlingame","CA","Chocolate / Cocoa Flavored Beers",2000
"3917","Silver","Chocolate Stout","Rogue Ales","Newport","OR","Chocolate / Cocoa Flavored Beers",2000
"3918","Silver","Pick Axe Pale Ale","Tommyknocker Brewery","Idaho Springs","CO","Classic English Style Pale Ale",2000
"3919","Bronze","New South Pale Ale","New South Brewing","Myrtle Beach","SC","Classic English Style Pale Ale",2000
"3920","Gold","Murphy's Dry Stout","Humperdinks Big Horn Brewing","Lakewood","WA","Classic Irish-Style Dry Stout",2000
"3921","Silver","Black Magic Stout","Empire Brewing Co.","Rochester","NY","Classic Irish-Style Dry Stout",2000
